order_id,item_id,quantity,special_request,subtotal,payment_method,order_placed,order_status
184,17,5,None,28.42,Cash,2023-04-10 20:36:34,In Progress
185,5,5,Extra gravy,25.08,Credit Card,2023-05-27 11:26:02,In Progress
186,17,3,Extra syrup,15.67,Credit Card,2023-10-05 14:36:39,Completed
187,17,5,Spicy,20.87,Credit Card,2023-04-08 13:31:59,Cancelled
188,17,1,Extra syrup,26.41,Credit Card,2023-11-29 11:52:10,Cancelled
189,2,5,Extra syrup,17.27,Credit Card,2023-03-18 03:23:13,Completed
190,2,3,Spicy,10.42,Interac Transfer,2023-04-22 15:52:51,In Progress
191,22,4,Spicy,9.24,Credit Card,2023-02-28 15:50:58,Cancelled
192,5,5,Extra gravy,5.0,Cash,2023-12-06 15:25:33,Cancelled
193,1,2,Spicy,22.96,Interac Transfer,2023-03-09 13:24:32,Cancelled
194,1,1,No powdered sugar,7.78,Cash,2023-03-01 16:34:16,In Progress
195,19,1,No powdered sugar,11.1,Credit Card,2023-07-17 08:09:07,In Progress
196,2,2,Extra gravy,12.45,Cash,2023-12-02 00:52:37,Cancelled
197,21,2,None,19.01,Credit Card,2023-08-14 00:22:43,Cancelled
198,12,5,None,14.95,Cash,2023-01-11 09:00:30,Completed
199,6,2,No powdered sugar,21.87,Cash,2023-05-20 12:56:43,Completed
200,4,4,Spicy,6.39,Credit Card,2023-04-13 18:11:09,In Progress
201,11,3,Extra gravy,8.1,Cash,2023-05-17 04:48:11,Completed
202,17,2,None,17.48,Interac Transfer,2023-06-10 23:40:44,Cancelled
203,6,2,None,13.42,Cash,2023-10-10 05:18:03,In Progress
204,5,4,Extra syrup,12.4,Interac Transfer,2023-03-08 17:02:14,Completed
205,20,1,No powdered sugar,6.68,Interac Transfer,2023-07-29 22:19:01,In Progress
206,2,1,Spicy,27.39,Cash,2023-01-06 06:04:11,Cancelled
207,6,5,Extra gravy,22.3,Interac Transfer,2023-11-13 15:57:06,Completed
208,22,4,None,8.04,Interac Transfer,2023-03-28 10:47:26,Completed
209,11,3,Extra syrup,6.63,Cash,2023-07-09 16:52:58,Completed
210,16,3,No powdered sugar,29.37,Credit Card,2023-09-28 03:32:00,Cancelled
211,16,4,No powdered sugar,22.03,Credit Card,2023-07-28 00:03:52,In Progress
212,1,3,Extra gravy,15.44,Interac Transfer,2023-04-22 18:24:38,Completed
213,9,1,None,22.54,Interac Transfer,2023-01-22 04:09:02,In Progress
214,6,3,Extra gravy,23.91,Credit Card,2023-01-24 20:10:39,In Progress
215,16,3,Extra gravy,24.5,Interac Transfer,2023-05-23 12:08:19,In Progress
216,3,4,Extra syrup,16.95,Credit Card,2023-05-25 16:19:57,Cancelled
217,20,4,No powdered sugar,15.75,Cash,2023-03-24 05:28:15,Cancelled
218,4,3,Spicy,5.28,Interac Transfer,2023-06-03 03:05:17,Completed
219,19,2,No powdered sugar,28.16,Cash,2023-04-15 16:50:29,Completed
220,3,4,No powdered sugar,20.08,Credit Card,2023-11-26 13:08:12,In Progress
221,19,5,Extra syrup,10.08,Credit Card,2023-02-26 19:20:34,In Progress
222,20,5,Spicy,27.99,Cash,2023-10-12 06:22:05,In Progress
223,7,1,None,27.87,Interac Transfer,2023-05-02 13:23:14,Cancelled
224,20,3,Spicy,29.73,Cash,2023-05-27 23:16:09,Cancelled
225,9,2,None,26.85,Cash,2023-06-07 19:29:47,Completed
226,1,1,Spicy,29.94,Interac Transfer,2023-09-17 08:26:21,In Progress
227,8,3,Extra gravy,11.12,Credit Card,2023-05-28 21:48:15,In Progress
228,7,4,Spicy,26.06,Cash,2023-10-30 10:20:58,Cancelled
229,18,5,Extra syrup,25.58,Cash,2023-08-07 13:48:07,Completed
230,8,2,None,10.77,Credit Card,2023-02-27 00:48:22,In Progress
231,1,5,No powdered sugar,7.46,Cash,2023-03-27 05:04:47,In Progress
232,11,4,Extra syrup,29.49,Credit Card,2023-01-03 16:04:45,Completed
233,18,3,None,12.4,Interac Transfer,2023-11-12 13:02:25,In Progress
234,10,4,None,26.77,Credit Card,2023-02-25 13:20:31,Cancelled
235,3,4,No powdered sugar,5.1,Credit Card,2023-02-27 06:38:06,Completed
236,7,5,Extra gravy,5.53,Cash,2023-05-07 05:02:02,In Progress
237,16,2,Extra syrup,16.65,Credit Card,2023-03-19 09:46:58,In Progress
238,16,4,No powdered sugar,10.97,Credit Card,2023-06-10 05:24:27,Cancelled
239,20,5,No powdered sugar,22.25,Cash,2023-10-28 08:37:59,Cancelled
240,17,2,Extra gravy,19.14,Credit Card,2023-09-30 04:50:55,Cancelled
241,2,3,Extra syrup,6.94,Cash,2023-06-22 20:11:47,In Progress
242,1,3,No powdered sugar,9.07,Interac Transfer,2023-09-08 20:26:42,In Progress
243,16,1,Extra gravy,14.7,Credit Card,2023-10-17 07:44:08,In Progress
244,12,5,Extra syrup,9.64,Interac Transfer,2023-06-13 16:21:51,Completed
245,5,2,Spicy,24.81,Credit Card,2023-12-20 04:41:44,Cancelled
246,5,4,None,15.4,Credit Card,2023-09-06 21:44:11,Completed
247,9,3,Extra gravy,7.34,Interac Transfer,2023-09-28 23:56:32,Cancelled
248,9,2,None,17.11,Interac Transfer,2023-04-03 01:18:58,In Progress
249,3,5,Spicy,7.27,Cash,2023-11-29 23:28:22,Completed
250,19,1,No powdered sugar,8.22,Cash,2023-09-27 08:31:56,Completed
251,16,3,No powdered sugar,10.99,Interac Transfer,2023-03-13 06:45:25,Cancelled
252,16,2,Extra syrup,26.49,Credit Card,2023-10-15 08:06:31,Completed
253,3,2,Extra gravy,28.12,Cash,2023-09-23 20:48:20,Completed
254,20,2,Extra gravy,25.66,Credit Card,2023-06-27 21:34:20,In Progress
255,22,5,Extra syrup,13.35,Cash,2023-09-02 02:44:18,Cancelled
256,1,5,None,11.81,Cash,2023-08-12 22:47:31,Completed
257,20,5,No powdered sugar,18.73,Cash,2023-11-06 15:13:45,In Progress
258,11,4,No powdered sugar,23.05,Interac Transfer,2023-01-13 15:00:58,Completed
259,17,2,Extra gravy,29.83,Credit Card,2023-07-27 05:39:04,In Progress
260,8,3,Extra gravy,8.29,Interac Transfer,2023-06-08 19:30:21,Completed
261,4,5,Extra syrup,6.23,Cash,2023-09-29 19:56:41,In Progress
262,6,5,Spicy,22.36,Interac Transfer,2023-08-23 12:34:29,In Progress
263,8,2,None,25.81,Interac Transfer,2023-03-10 18:15:09,Cancelled
264,20,5,Spicy,26.16,Interac Transfer,2023-03-21 12:43:17,In Progress
265,3,4,Spicy,21.96,Credit Card,2023-08-12 00:05:43,Completed
266,16,4,Extra gravy,28.85,Interac Transfer,2023-11-27 20:23:35,In Progress
267,3,5,Extra gravy,17.78,Interac Transfer,2023-11-24 02:46:41,In Progress
268,18,2,Extra gravy,27.85,Interac Transfer,2023-05-03 11:26:20,Completed
269,14,2,Spicy,29.2,Interac Transfer,2023-03-13 04:37:20,Completed
270,18,2,None,26.18,Interac Transfer,2023-08-22 09:09:03,In Progress
271,2,1,Extra gravy,12.74,Interac Transfer,2023-03-01 16:10:06,Completed
272,22,5,No powdered sugar,9.91,Interac Transfer,2023-11-17 11:00:21,In Progress
273,3,2,None,18.7,Cash,2023-08-22 06:58:32,In Progress
274,16,4,No powdered sugar,16.33,Interac Transfer,2023-12-21 03:36:39,In Progress
275,9,3,None,26.94,Interac Transfer,2023-03-04 12:07:23,Completed
276,4,3,Extra gravy,7.5,Credit Card,2023-08-30 18:57:38,Cancelled
277,1,2,Extra syrup,11.44,Cash,2023-04-29 00:59:42,Cancelled
278,4,3,Extra gravy,23.79,Interac Transfer,2023-07-17 18:18:32,In Progress
279,1,3,Spicy,7.37,Credit Card,2023-07-14 00:37:06,In Progress
280,14,1,Spicy,13.02,Interac Transfer,2023-01-12 03:36:01,Completed
281,21,4,None,14.68,Interac Transfer,2023-01-29 18:05:47,Cancelled
282,16,4,Spicy,20.56,Interac Transfer,2023-08-26 06:25:18,Cancelled
283,20,1,Extra gravy,8.95,Interac Transfer,2023-09-23 21:23:07,Cancelled
284,8,1,No powdered sugar,26.52,Interac Transfer,2023-09-18 06:43:31,Completed
285,7,3,Extra gravy,16.19,Credit Card,2023-02-06 02:33:20,Completed
286,3,5,None,27.93,Interac Transfer,2023-11-30 16:42:27,Completed
287,17,3,Spicy,16.7,Credit Card,2023-06-06 03:24:22,In Progress
288,1,1,No powdered sugar,11.88,Interac Transfer,2023-05-21 14:29:32,Completed
289,16,4,Extra syrup,8.55,Credit Card,2023-10-18 14:15:31,In Progress
290,12,3,No powdered sugar,5.09,Cash,2023-06-15 15:35:35,In Progress
291,19,5,No powdered sugar,18.3,Interac Transfer,2023-01-26 22:06:56,In Progress
292,22,3,Extra gravy,7.68,Cash,2023-09-28 08:16:56,In Progress
293,22,2,Extra syrup,14.79,Cash,2023-05-25 03:24:19,Completed
294,14,3,None,19.73,Cash,2023-12-13 00:49:29,Completed
295,6,1,None,11.89,Interac Transfer,2023-03-29 10:01:21,Cancelled
296,6,4,No powdered sugar,9.38,Cash,2023-02-05 21:30:55,Cancelled
297,13,4,No powdered sugar,24.37,Credit Card,2023-12-11 14:10:27,In Progress
298,19,1,Spicy,28.67,Interac Transfer,2023-06-17 21:25:16,Cancelled
299,22,2,Extra syrup,7.51,Cash,2023-08-02 13:07:12,Cancelled
300,8,1,No powdered sugar,8.89,Interac Transfer,2023-01-09 05:08:35,Cancelled
301,2,3,Spicy,29.0,Cash,2023-08-19 19:08:07,In Progress
302,21,1,Extra syrup,5.94,Credit Card,2023-04-07 06:41:15,Cancelled
303,1,1,None,29.44,Interac Transfer,2023-04-08 02:38:51,Completed
304,15,2,Spicy,5.12,Interac Transfer,2023-07-19 03:47:33,In Progress
305,1,3,Extra syrup,26.84,Cash,2023-01-24 12:47:48,Completed
306,5,5,Spicy,12.68,Credit Card,2023-08-28 16:13:22,In Progress
307,16,5,No powdered sugar,28.46,Interac Transfer,2023-11-12 00:50:47,Completed
308,19,4,Extra gravy,12.92,Cash,2023-08-30 14:36:35,Cancelled
309,4,1,None,21.36,Credit Card,2023-03-26 04:33:11,In Progress
310,3,4,No powdered sugar,7.0,Credit Card,2023-09-07 13:27:08,Completed
311,17,2,No powdered sugar,11.06,Credit Card,2023-08-29 22:32:32,In Progress
312,17,5,Extra syrup,24.34,Credit Card,2023-12-15 20:24:23,Completed
313,12,1,Spicy,18.22,Interac Transfer,2023-02-23 07:25:15,Cancelled
314,14,2,None,28.2,Interac Transfer,2023-08-18 18:00:32,In Progress
315,21,2,No powdered sugar,15.72,Credit Card,2023-05-01 09:16:34,In Progress
316,6,1,Extra syrup,26.75,Cash,2023-04-07 13:13:59,Completed
317,3,2,None,16.22,Cash,2023-08-12 07:27:34,Completed
318,9,1,Spicy,29.48,Credit Card,2023-06-29 20:48:58,Cancelled
319,5,1,No powdered sugar,29.0,Credit Card,2023-10-08 08:36:36,Completed
320,17,3,No powdered sugar,13.23,Cash,2023-08-07 12:24:21,Completed
321,14,4,No powdered sugar,27.15,Credit Card,2023-09-29 17:51:56,Completed
322,21,2,None,26.19,Credit Card,2023-05-03 17:02:00,Cancelled
323,3,2,None,10.27,Interac Transfer,2023-05-28 11:17:57,Cancelled
324,1,3,None,20.61,Interac Transfer,2023-06-28 06:57:07,In Progress
325,20,3,None,6.82,Credit Card,2023-08-19 11:39:46,Cancelled
326,21,3,Extra syrup,25.92,Credit Card,2023-03-17 03:52:54,Completed
327,1,5,Extra gravy,9.36,Interac Transfer,2023-08-27 07:46:14,In Progress
328,3,5,Extra syrup,6.77,Credit Card,2023-12-26 23:57:27,Cancelled
329,18,5,No powdered sugar,15.01,Interac Transfer,2023-06-06 12:11:20,Cancelled
330,10,1,Extra syrup,19.42,Interac Transfer,2023-02-08 15:26:28,Completed
331,22,2,Spicy,26.37,Cash,2023-04-14 02:58:52,Completed
332,3,4,None,29.36,Interac Transfer,2023-08-18 13:58:48,Cancelled
333,8,1,Spicy,15.99,Cash,2023-03-17 04:24:44,In Progress
334,14,2,Spicy,6.51,Cash,2023-10-22 15:25:05,Completed
335,18,2,No powdered sugar,23.73,Interac Transfer,2023-06-29 04:22:14,Cancelled
336,15,3,None,19.13,Credit Card,2023-08-01 04:21:39,Cancelled
337,22,3,Spicy,16.2,Interac Transfer,2023-01-26 03:32:25,Completed
338,2,1,No powdered sugar,12.73,Cash,2023-10-23 19:55:56,In Progress
339,10,3,None,17.56,Interac Transfer,2023-07-03 18:16:28,In Progress
340,2,2,Extra gravy,13.47,Interac Transfer,2023-07-02 06:40:32,In Progress
341,17,3,No powdered sugar,23.93,Cash,2023-07-01 11:33:09,Completed
342,8,5,Extra syrup,18.6,Interac Transfer,2023-12-16 14:44:47,Completed
343,1,3,None,26.92,Interac Transfer,2023-03-19 23:14:25,Completed
344,9,2,Spicy,18.59,Cash,2023-12-09 14:49:59,In Progress
345,11,1,Spicy,10.96,Credit Card,2023-12-03 16:52:26,In Progress
346,22,4,Extra syrup,26.28,Cash,2023-06-16 23:26:55,Completed
347,16,3,Extra syrup,18.93,Cash,2023-08-29 16:00:30,Completed
348,7,2,Spicy,10.17,Interac Transfer,2023-01-20 04:16:19,Completed
349,10,4,None,20.59,Cash,2023-05-14 18:27:38,In Progress
350,3,4,No powdered sugar,13.94,Interac Transfer,2023-11-19 20:49:30,Cancelled
