order_id,customer_id,item_id,quantity,special_request,subtotal,payment_method,order_placed,order_status
103,1201,16,2,Extra gravy,9.31,Interac Transfer,2023-03-09 04:42:42,Completed
104,1957,7,3,Spicy,25.51,Cash,2023-05-30 01:30:40,In Progress
105,1995,9,1,Spicy,13.38,Credit Card,2023-06-01 10:49:53,Cancelled
106,1269,3,5,Extra gravy,7.39,Credit Card,2023-03-08 15:40:30,Completed
107,1862,15,1,None,24.62,Cash,2023-08-19 02:06:31,Cancelled
108,1815,16,4,None,16.36,Credit Card,2023-03-13 16:06:14,In Progress
109,1270,18,1,Extra mustard,17.31,Credit Card,2023-12-10 23:47:01,Cancelled
110,1455,14,2,None,9.66,Cash,2023-10-20 17:23:50,Completed
111,1461,3,1,Extra mustard,21.52,Interac Transfer,2023-03-30 12:44:24,Completed
112,1726,12,1,No powdered sugar,18.78,Interac Transfer,2023-10-05 21:20:19,Cancelled
113,1251,9,1,Extra gravy,10.17,Credit Card,2023-01-07 01:16:03,Cancelled
114,1701,7,3,Spicy,13.51,Cash,2023-06-29 03:22:20,Completed
115,1295,9,3,Extra mustard,19.92,Interac Transfer,2023-09-18 22:21:57,Cancelled
116,1724,13,4,None,28.12,Interac Transfer,2023-10-20 23:14:13,Cancelled
117,1719,18,2,Extra mustard,28.01,Credit Card,2023-05-30 09:57:34,Cancelled
118,1748,5,1,Extra mustard,12.2,Interac Transfer,2023-05-24 13:34:19,In Progress
119,1337,13,1,None,23.39,Cash,2023-04-28 11:59:45,In Progress
120,1878,4,1,None,24.39,Interac Transfer,2023-09-11 17:41:20,In Progress
121,1052,2,1,Extra gravy,25.22,Cash,2023-06-26 02:09:52,Cancelled
122,1791,16,3,Spicy,19.27,Cash,2023-12-03 12:28:20,Completed
123,1921,9,4,Extra gravy,5.26,Credit Card,2023-03-29 03:42:49,Cancelled
124,1216,9,5,Extra gravy,24.04,Interac Transfer,2023-12-09 15:02:00,Cancelled
125,1763,6,2,None,7.66,Credit Card,2023-12-09 07:52:03,In Progress
126,1187,11,1,None,7.92,Interac Transfer,2023-05-07 09:56:37,Completed
127,1379,22,4,Spicy,20.14,Credit Card,2023-08-05 08:06:29,In Progress
128,1492,22,5,Extra mustard,29.59,Credit Card,2023-08-27 15:36:23,Completed
129,1040,1,4,Extra gravy,11.06,Credit Card,2023-07-10 19:13:28,Cancelled
130,1156,4,3,Spicy,21.15,Interac Transfer,2023-09-29 11:41:45,Cancelled
131,1014,13,5,Extra gravy,12.59,Credit Card,2023-03-26 11:08:23,Cancelled
132,1812,13,4,Extra mustard,27.47,Cash,2023-05-30 10:31:27,Completed
133,1064,13,3,Extra gravy,19.84,Interac Transfer,2023-09-03 18:35:30,In Progress
134,1856,2,4,No powdered sugar,10.19,Cash,2023-03-10 12:44:08,In Progress
135,1838,9,4,Spicy,11.55,Credit Card,2023-07-28 22:52:24,In Progress
136,1520,8,5,None,15.81,Credit Card,2023-03-29 01:03:39,Completed
137,1343,7,3,Extra gravy,8.05,Cash,2023-11-14 17:06:05,Completed
138,1128,4,1,Spicy,6.97,Credit Card,2023-06-29 21:13:18,Cancelled
139,1647,18,2,Spicy,22.0,Interac Transfer,2023-08-20 08:09:22,In Progress
140,1471,3,5,Extra gravy,15.18,Cash,2023-07-30 11:04:45,Completed
141,1062,6,3,None,23.16,Interac Transfer,2023-04-03 21:53:42,In Progress
142,1138,12,4,None,7.75,Interac Transfer,2023-08-30 14:06:37,In Progress
143,1498,12,3,Extra gravy,20.25,Interac Transfer,2023-03-04 16:13:46,Completed
144,1592,21,2,Spicy,16.08,Credit Card,2023-09-07 10:16:33,Completed
145,1391,8,2,None,6.45,Credit Card,2023-02-05 02:25:47,Cancelled
146,1674,22,1,Extra gravy,18.62,Cash,2023-11-03 03:31:51,Cancelled
147,1418,22,1,Extra gravy,7.07,Cash,2023-11-06 00:59:54,Cancelled
148,1288,1,2,Extra gravy,25.69,Interac Transfer,2023-04-11 00:21:22,In Progress
149,1378,4,5,Spicy,20.8,Credit Card,2023-06-21 13:55:11,In Progress
150,1772,21,5,None,18.92,Credit Card,2023-10-08 14:34:56,Cancelled
151,1489,11,4,Spicy,8.34,Credit Card,2023-06-14 08:58:13,In Progress
152,1230,3,1,No powdered sugar,12.19,Cash,2023-08-28 02:40:16,In Progress
153,1040,13,4,None,17.32,Credit Card,2023-10-19 22:55:58,In Progress
154,1027,17,1,Spicy,20.83,Interac Transfer,2023-10-25 07:40:07,In Progress
155,1134,22,2,None,9.58,Interac Transfer,2023-10-06 09:41:46,Completed
156,1200,22,5,No powdered sugar,5.22,Interac Transfer,2023-01-13 03:13:20,Completed
157,1839,10,5,Extra mustard,13.62,Credit Card,2023-08-11 09:10:51,Cancelled
158,1779,21,2,Extra gravy,17.07,Interac Transfer,2023-10-15 09:11:27,Cancelled
159,1929,12,4,Spicy,9.61,Interac Transfer,2023-10-15 03:24:31,In Progress
160,1032,15,4,No powdered sugar,17.3,Cash,2023-01-28 21:17:18,In Progress
161,1047,21,3,No powdered sugar,13.46,Cash,2023-09-27 10:43:12,Completed
162,1502,10,1,None,16.38,Credit Card,2023-07-09 02:28:49,In Progress
163,1406,14,4,None,13.69,Credit Card,2023-08-03 00:36:48,In Progress
164,1573,13,2,Extra gravy,20.71,Credit Card,2023-02-15 23:53:45,Cancelled
165,1727,5,4,None,6.07,Credit Card,2023-03-07 07:21:47,In Progress
166,1804,6,5,Spicy,9.27,Credit Card,2023-04-25 11:26:29,Completed
167,1098,2,1,Spicy,15.82,Cash,2023-08-23 19:13:10,In Progress
168,1683,22,3,Spicy,13.91,Cash,2023-04-04 12:48:30,In Progress
169,1871,17,1,Extra mustard,14.79,Cash,2023-06-10 13:51:36,In Progress
170,1725,4,5,Spicy,25.09,Interac Transfer,2023-12-08 17:21:19,In Progress
171,1986,14,5,None,27.16,Interac Transfer,2023-02-28 08:11:28,In Progress
172,1546,10,5,None,11.22,Cash,2023-05-08 07:27:26,Completed
173,1960,3,5,Spicy,25.91,Cash,2023-10-30 22:53:06,Cancelled
174,1738,3,2,No powdered sugar,16.47,Credit Card,2023-12-23 17:13:48,In Progress
175,1612,15,3,No powdered sugar,11.85,Cash,2023-02-05 02:28:12,Cancelled
176,1942,6,5,No powdered sugar,29.64,Credit Card,2023-11-10 21:52:57,Cancelled
177,1461,17,5,Extra gravy,25.62,Cash,2023-06-08 16:18:08,Completed
178,1642,12,4,Extra mustard,29.86,Credit Card,2023-06-12 01:58:14,Cancelled
179,1768,22,3,Spicy,9.2,Cash,2023-04-28 14:08:16,In Progress
180,1004,20,1,Extra gravy,8.6,Credit Card,2023-04-07 10:54:15,In Progress
181,1217,11,3,No powdered sugar,17.58,Interac Transfer,2023-05-27 17:03:07,In Progress
182,1502,4,3,Spicy,20.97,Interac Transfer,2023-11-18 22:55:20,In Progress
183,1766,6,3,Extra gravy,9.28,Credit Card,2023-01-04 18:59:51,Completed
184,1397,1,5,None,26.51,Credit Card,2023-12-22 11:48:08,Cancelled
185,1870,20,5,No powdered sugar,18.3,Interac Transfer,2023-03-30 04:56:47,Completed
186,1794,16,2,Extra gravy,15.27,Cash,2023-04-01 16:21:05,Cancelled
187,1392,15,1,None,20.05,Credit Card,2023-05-26 17:28:47,Completed
188,1206,17,4,No powdered sugar,20.87,Cash,2023-10-10 01:24:26,Completed
189,1014,8,3,Extra mustard,6.07,Interac Transfer,2023-09-09 12:10:04,Completed
190,1857,12,1,No powdered sugar,30.0,Interac Transfer,2023-08-09 16:26:12,In Progress
191,1553,22,1,Extra mustard,14.1,Credit Card,2023-02-26 15:05:26,In Progress
192,1891,21,2,Extra mustard,6.54,Cash,2023-08-17 08:25:53,Completed
193,1460,10,4,Extra mustard,26.31,Interac Transfer,2023-10-08 21:43:00,Cancelled
194,1690,15,3,Spicy,29.83,Cash,2023-02-24 02:05:10,Cancelled
195,1574,9,4,Spicy,25.41,Interac Transfer,2023-03-30 21:02:15,In Progress
196,1863,2,2,Extra mustard,26.3,Credit Card,2023-08-03 02:54:21,Completed
197,1742,5,5,None,20.65,Cash,2023-01-02 20:22:46,In Progress
198,1240,6,1,Extra mustard,28.06,Cash,2023-06-17 21:48:59,In Progress
199,1563,7,3,Extra gravy,5.89,Credit Card,2023-08-06 02:15:00,In Progress
200,1095,21,5,Extra mustard,24.17,Credit Card,2023-10-09 17:35:40,Completed
201,1899,1,2,Spicy,21.77,Credit Card,2023-05-16 22:18:05,Completed
202,1733,7,4,Spicy,6.24,Credit Card,2023-12-01 06:05:43,In Progress
203,1484,20,1,Extra gravy,18.6,Interac Transfer,2023-06-15 13:39:54,Completed
204,1406,12,3,Extra gravy,17.88,Cash,2023-01-13 09:34:24,Cancelled
205,1230,16,5,No powdered sugar,22.29,Interac Transfer,2023-11-03 18:48:46,Cancelled
206,1748,16,5,None,6.94,Credit Card,2023-10-12 02:50:58,In Progress
207,1654,11,1,None,25.13,Interac Transfer,2023-05-06 11:33:58,Cancelled
208,1170,21,4,None,8.49,Interac Transfer,2023-12-03 21:04:37,In Progress
209,1540,4,2,Spicy,15.47,Cash,2023-05-25 03:48:09,In Progress
210,1035,13,4,None,27.03,Cash,2023-12-28 06:46:05,In Progress
211,1524,7,4,No powdered sugar,19.01,Cash,2023-01-08 18:07:19,Completed
212,1159,4,4,No powdered sugar,14.49,Credit Card,2023-08-15 11:42:24,Completed
213,1838,15,1,None,6.21,Credit Card,2023-08-13 19:52:14,Completed
214,1698,19,1,Extra gravy,21.81,Cash,2023-11-16 04:49:07,Completed
215,1242,9,2,No powdered sugar,29.66,Interac Transfer,2023-10-24 14:16:31,In Progress
216,1085,11,4,Extra gravy,27.79,Cash,2023-11-06 16:58:19,Completed
217,1795,8,1,Spicy,22.93,Credit Card,2023-04-05 19:26:51,Cancelled
218,1577,1,2,No powdered sugar,7.63,Interac Transfer,2023-01-25 22:41:26,Cancelled
219,1681,8,2,Extra gravy,10.99,Credit Card,2023-04-22 23:48:39,Completed
220,1556,13,4,None,9.67,Cash,2023-06-14 07:27:00,Cancelled
221,1573,22,3,Spicy,13.89,Cash,2023-08-05 13:02:05,Cancelled
222,1952,4,4,Extra mustard,10.89,Interac Transfer,2023-07-25 08:10:08,Completed
223,1645,8,3,Extra mustard,11.11,Cash,2023-03-16 21:22:02,In Progress
224,1795,3,2,None,20.42,Credit Card,2023-01-03 22:09:33,In Progress
225,1027,9,1,Spicy,12.97,Credit Card,2023-02-24 08:54:00,In Progress
226,1619,2,5,Spicy,21.93,Credit Card,2023-09-27 17:12:08,Completed
227,1555,2,2,Spicy,28.7,Interac Transfer,2023-05-16 07:21:27,In Progress
228,1339,13,1,Spicy,20.96,Credit Card,2023-02-19 07:20:13,In Progress
229,1797,15,2,Extra mustard,23.79,Cash,2023-11-21 20:17:59,Cancelled
230,1957,12,4,Extra gravy,23.79,Interac Transfer,2023-04-11 01:06:18,In Progress
231,1330,4,3,Spicy,13.27,Credit Card,2023-09-20 00:20:29,Completed
232,1639,8,2,Extra gravy,5.37,Credit Card,2023-01-26 20:41:28,In Progress
233,1505,9,1,Spicy,6.38,Cash,2023-09-16 03:16:33,Cancelled
234,1347,5,4,No powdered sugar,12.05,Cash,2023-07-23 10:01:10,Cancelled
235,1472,20,5,No powdered sugar,22.24,Interac Transfer,2023-01-01 11:46:10,Cancelled
236,1230,18,4,No powdered sugar,27.67,Credit Card,2023-07-21 02:08:17,Cancelled
237,1189,11,3,Spicy,28.97,Credit Card,2023-04-23 22:59:56,In Progress
238,1224,15,4,Extra gravy,5.65,Cash,2023-03-09 18:07:22,Cancelled
239,1384,22,5,Extra mustard,29.75,Interac Transfer,2023-08-17 23:59:51,Cancelled
240,1376,9,1,None,13.06,Cash,2023-10-28 12:55:02,Cancelled
241,1282,17,2,Extra mustard,26.07,Cash,2023-09-16 06:35:17,In Progress
242,1957,12,3,Spicy,9.51,Interac Transfer,2023-04-21 13:06:07,Completed
243,1632,7,5,No powdered sugar,6.57,Credit Card,2023-07-31 15:06:45,Cancelled
244,1627,10,3,No powdered sugar,14.46,Credit Card,2023-05-28 04:02:17,Cancelled
245,1972,10,4,Extra gravy,26.47,Credit Card,2023-08-04 11:31:08,Cancelled
246,1744,13,3,Spicy,10.52,Interac Transfer,2023-03-04 17:21:26,In Progress
247,1258,19,5,Extra mustard,8.85,Interac Transfer,2023-02-19 05:36:29,In Progress
248,1358,11,2,Spicy,27.75,Interac Transfer,2023-10-05 04:27:15,Cancelled
249,1709,13,2,Spicy,28.46,Interac Transfer,2023-06-11 09:13:27,Completed
250,1455,21,3,No powdered sugar,5.31,Interac Transfer,2023-04-30 10:40:00,Cancelled
251,1410,8,1,Extra mustard,23.19,Cash,2023-10-19 02:06:12,Completed
252,1648,8,3,None,12.73,Credit Card,2023-10-27 20:05:25,Completed
253,1317,4,4,No powdered sugar,14.37,Interac Transfer,2023-05-03 02:57:43,In Progress
254,1676,15,2,Extra mustard,16.73,Credit Card,2023-02-11 04:57:35,In Progress
255,1224,11,2,Extra gravy,15.67,Interac Transfer,2023-02-13 18:14:04,In Progress
256,1818,11,2,No powdered sugar,17.87,Credit Card,2023-05-01 01:08:48,Completed
257,1233,1,1,Extra gravy,19.56,Cash,2023-04-02 01:43:27,Completed
258,1683,17,1,No powdered sugar,16.64,Credit Card,2023-06-01 00:54:34,Completed
259,1663,15,5,Spicy,22.54,Credit Card,2023-02-22 09:13:12,In Progress
260,1974,20,3,Extra mustard,22.97,Interac Transfer,2023-03-18 00:36:33,In Progress
261,1826,6,3,Extra gravy,16.01,Credit Card,2023-11-07 04:39:01,In Progress
262,1373,22,4,No powdered sugar,8.56,Cash,2023-11-21 08:33:19,Cancelled
263,1671,15,2,Extra gravy,21.02,Cash,2023-12-14 12:20:12,Completed
264,1607,9,1,No powdered sugar,24.32,Cash,2023-09-10 21:53:13,Completed
265,1471,14,4,No powdered sugar,20.95,Interac Transfer,2023-03-03 10:27:44,Cancelled
266,1232,18,4,None,19.7,Interac Transfer,2023-07-15 20:47:59,Completed
267,1691,17,1,None,10.74,Interac Transfer,2023-08-17 11:52:55,Completed
268,1112,18,3,None,21.13,Interac Transfer,2023-09-13 09:11:39,Cancelled
269,1829,5,2,Extra gravy,13.37,Interac Transfer,2023-07-07 03:17:16,Completed
270,1496,20,3,Spicy,27.99,Cash,2023-02-02 21:53:17,In Progress
271,1441,20,4,No powdered sugar,21.34,Credit Card,2023-02-21 06:59:30,Cancelled
272,1563,9,2,Extra mustard,11.95,Cash,2023-12-20 14:36:33,Completed
273,1267,11,5,None,16.82,Interac Transfer,2023-10-27 09:56:08,In Progress
274,1509,22,4,Extra gravy,26.16,Cash,2023-09-17 11:14:17,Completed
275,1806,1,3,Extra gravy,13.39,Credit Card,2023-01-24 19:11:38,Cancelled
276,1385,18,3,Extra gravy,18.14,Interac Transfer,2023-05-08 03:57:57,In Progress
277,1386,6,3,Extra mustard,21.99,Cash,2023-11-01 16:24:30,Completed
278,1112,2,1,Extra mustard,23.86,Cash,2023-08-07 02:58:08,Cancelled
279,1612,15,4,None,9.35,Credit Card,2023-12-10 23:59:39,Completed
280,1624,21,2,Extra mustard,19.13,Interac Transfer,2023-12-11 21:41:42,Completed
281,1951,14,3,None,27.8,Interac Transfer,2023-06-11 03:44:32,In Progress
282,1080,5,3,Extra mustard,29.21,Credit Card,2023-07-22 21:10:07,Completed
283,1698,6,1,Extra mustard,21.4,Credit Card,2023-10-05 05:05:06,Cancelled
284,1112,6,2,Extra mustard,29.59,Credit Card,2023-01-05 16:48:59,Cancelled
285,1001,22,4,None,19.27,Credit Card,2023-10-05 14:51:01,In Progress
286,1641,18,5,No powdered sugar,16.07,Interac Transfer,2023-02-12 10:52:12,In Progress
287,1219,14,1,None,18.79,Interac Transfer,2023-10-22 21:48:36,Completed
288,1565,10,4,No powdered sugar,7.89,Cash,2023-10-17 12:36:40,Cancelled
289,1854,14,5,Extra gravy,15.04,Cash,2023-04-08 19:00:40,In Progress
290,1996,13,3,Extra gravy,16.46,Cash,2023-12-25 04:46:06,Completed
291,1735,3,3,None,26.22,Interac Transfer,2023-07-02 02:29:57,Completed
292,1224,6,2,No powdered sugar,23.97,Interac Transfer,2023-12-04 05:27:28,Cancelled
293,1384,8,5,No powdered sugar,20.04,Interac Transfer,2023-08-20 20:53:26,Cancelled
294,1402,12,3,No powdered sugar,13.68,Cash,2023-04-29 21:35:22,Completed
295,1637,13,3,Extra gravy,9.68,Credit Card,2023-08-09 01:58:14,Cancelled
296,1129,11,2,None,13.69,Credit Card,2023-03-11 17:18:53,Completed
297,1052,12,4,Spicy,22.0,Credit Card,2023-12-30 14:15:43,Completed
298,1683,1,3,No powdered sugar,11.58,Credit Card,2023-10-22 13:43:57,Cancelled
299,1729,17,1,No powdered sugar,15.67,Credit Card,2023-03-22 19:20:04,In Progress
300,1671,16,1,Spicy,14.67,Interac Transfer,2023-04-22 00:58:50,Completed
301,1709,11,4,None,24.14,Cash,2023-06-09 11:25:16,Cancelled
302,1415,13,5,No powdered sugar,27.09,Credit Card,2023-10-19 06:39:55,Completed
303,1246,18,2,None,22.48,Credit Card,2023-08-29 22:06:43,Completed
304,1835,11,1,No powdered sugar,13.54,Credit Card,2023-04-09 00:52:25,Completed
305,1438,12,1,Extra mustard,15.83,Interac Transfer,2023-01-21 09:17:09,Cancelled
306,1202,6,4,No powdered sugar,8.58,Credit Card,2023-07-03 16:44:42,Cancelled
307,1183,9,5,Extra mustard,9.2,Cash,2023-02-18 23:53:46,Cancelled
308,1122,16,5,None,9.11,Interac Transfer,2023-06-24 16:19:16,In Progress
309,1400,4,4,No powdered sugar,8.26,Interac Transfer,2023-12-16 22:55:50,Completed
310,1766,3,1,Extra gravy,9.49,Interac Transfer,2023-03-21 00:07:26,In Progress
311,1293,16,2,Extra gravy,10.07,Credit Card,2023-10-27 16:17:08,Completed
312,1279,12,1,Spicy,7.8,Credit Card,2023-03-31 10:22:55,Cancelled
313,1836,11,5,Extra gravy,21.01,Credit Card,2023-10-09 20:18:14,Completed
314,1883,5,1,Extra mustard,29.76,Credit Card,2023-02-26 18:24:26,Completed
315,1609,18,2,Extra gravy,26.98,Cash,2023-07-19 06:59:52,Completed
316,1197,19,3,Extra gravy,6.14,Interac Transfer,2023-03-30 15:01:36,In Progress
317,1981,6,1,Extra gravy,15.58,Credit Card,2023-09-01 12:38:32,Cancelled
318,1906,22,4,No powdered sugar,26.48,Cash,2023-07-20 10:30:52,Cancelled
319,1510,18,3,Spicy,8.37,Interac Transfer,2023-03-10 03:42:08,Completed
320,1751,6,4,None,26.19,Interac Transfer,2023-07-14 10:27:50,Cancelled
321,1143,4,4,Spicy,19.82,Interac Transfer,2023-10-29 01:21:53,In Progress
322,1608,12,4,Extra mustard,28.28,Credit Card,2023-03-14 02:06:53,In Progress
323,1200,19,1,No powdered sugar,26.9,Interac Transfer,2023-08-26 08:05:21,Cancelled
324,1123,2,5,No powdered sugar,21.93,Credit Card,2023-05-24 06:40:19,In Progress
